hotel_name,hotel_url,search_city,rating,latitude,longitude,description
APPARTEMENT NEUF ET BIEN SITUE AVEC UN CLASSEMENT,https://www.booking.com/hotel/fr/appartement-neuf-et-bien-situe-avec-un-classement-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALMx4m9BsACAdICJDkwYTFjY2FiLTJjZDctNDdlZC04ZjFjLWRjYjY0OGY3NGQ0Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=b4ed85a69b4e05f5&srepoch=1738695629&from=searchresults,St Malo,9.6,48.64591,-2.009882,"Located in Saint Malo, near Sillon Beach, Eventail Beach and Bas-Sablons Beach, APPARTEMENT NEUF ET BIEN SITUE AVEC UN CLASSEMENT has a terrace. This property offers access to a balcony and free private parking. The apartment features facilities for disabled guests.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV, a fully equipped kitchen with a dishwasher and an oven, and 1 bathroom with a hair dryer. Towels and bed linen are provided in the apartment.

Popular points of interest near the apartment include Palais du Grand Large, Casino Barrière Saint-Malo and National Fort."
Hotel Elizabeth - Intra Muros,https://www.booking.com/hotel/fr/elizabeth.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALMx4m9BsACAdICJDkwYTFjY2FiLTJjZDctNDdlZC04ZjFjLWRjYjY0OGY3NGQ0Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=b4ed85a69b4e05f5&srepoch=1738695629&from=searchresults,St Malo,8.3,48.64764754676929,-2.0243194699287415,"Hotel Elizabeth, situated in the historic Ship Owners district inside the walls of Saint-Malo offers an atmosphere of yesterday with the modern comforts of today. Saint-Malo Marina is 180 metres away.

Guestrooms are distributed among 2 buildings, Les Armateurs, which includes the superior rooms and Les Skippers, 50 metres away, with the standard rooms. The former was built in the early 17th century and the latter is a more modern building. All rooms are comfortable and equipped with modern en suite facilities.

Free Wi-Fi internet in the entire property. In the stone-walled cellar, enjoy your breakfast under 400 year old exposed wooden beams.

In the vicinity of Hotel Elizabeth you will find the 18th-century House of Pirates, Saint Servan, the city of Aleth, and the museum of Cap Horniers. You can also enjoy a walk on the ramparts and the beach of Sillon."
Nice 34m near the Port of Saint-Malo,https://www.booking.com/hotel/fr/nice-34m-near-the-port-of-saint-malo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALMx4m9BsACAdICJDkwYTFjY2FiLTJjZDctNDdlZC04ZjFjLWRjYjY0OGY3NGQ0Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=b4ed85a69b4e05f5&srepoch=1738695629&from=searchresults,St Malo,8.5,48.647694,-2.008052,"Offering city views, Nice 34m near the Port of Saint-Malo is an accommodation located in Saint Malo, 1.8 km from Bas-Sablons Beach and 1.3 km from Palais du Grand Large. It is situated 1.3 km from Eventail Beach and offers a lift. The property is non-smoking and is set 1 km from Sillon Beach.

The apartment consists of 1 bedroom, a living room, a fully equipped kitchen with a dishwasher and a coffee machine, and 1 bathroom with an a bath or shower. Towels and bed linen are offered in the apartment.

Popular points of interest near the apartment include Casino Barrière Saint-Malo, National Fort and Grand Bé."
Hôtel Bristol Union Intra Muros,https://www.booking.com/hotel/fr/bristol-union.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALMx4m9BsACAdICJDkwYTFjY2FiLTJjZDctNDdlZC04ZjFjLWRjYjY0OGY3NGQ0Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b4ed85a69b4e05f5&srepoch=1738695629&from=searchresults,St Malo,9.2,48.64961099853388,-2.024303376674652,"Hotel Bristol Union is located in the heart of Saint Malo, within the city walls of the old town and 180 metres from Saint-Malo Marina. Its rooms and suites are en suite with satellite TV and free Wi-Fi internet access.

A daily breakfast service is available. It is served in the dining area or in the comfort of your guest room. The bar offers a nice place to enjoy a quiet drink or evening aperitif.

The Bristol Union benefits from a convenient location for those wishing to explore and discover Saint-Malo and the picturesque region of Brittany. Mont Saint Michel is just a 45-minute drive from the hotel."
Oceania Saint Malo,https://www.booking.com/hotel/fr/oceaniasaintmalo.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSDNYBGhNiAEBmAEJuAEXyAEM2AEB6AEB-AEDiAIBqAIDuALMx4m9BsACAdICJDkwYTFjY2FiLTJjZDctNDdlZC04ZjFjLWRjYjY0OGY3NGQ0Y9gCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=b4ed85a69b4e05f5&srepoch=1738695629&from=searchresults,St Malo,8.6,48.65175688590083,-2.0184320211410522,"The Oceania Saint Malo hotel faces the sea and is located on Chaussée du Sillon, opposite Sillon Beach and 450 metres from Saint-Malo Marina. It offers luxurious rooms and guests have free access to spa area and swimming pool.

Guest rooms are air-conditioned and feature parquet flooring. They include flat-screen TV, free WiFi and a spacious bathroom.

The terrace has a panoramic sea view. The open-air hot tub is located on the patio. The modern fitness room includes the latest exercise equipment and massages are offered at an extra cost.

The lounge bar in the Oceania Saint Malo offers a variety of cocktails and drinks and can accommodate private cocktail parties. It also offers a dining menu for evening meals. Breakfast is served daily.

The Oceania is 1.5 km from the Saint-Malo Train Station and 7 km from the airport. On-site parking is available. English, Spanish, German and French are spoken at reception."
Les Souvenirs d'Alsace,https://www.booking.com/hotel/fr/les-souvenirs-d-alsace.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As7Hib0GwAIB0gIkZGNkODgyMTItNTFmZi00NTA5LTkwNDktYWFmZDg4OGFhMjIy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=252c85a759010512&srepoch=1738695631&from=searchresults,Colmar,9.3,48.076806,7.3655232,"Situated in the centre of Colmar, Les Souvenirs d'Alsace is a recently renovated accommodation, which features soundproof rooms. Free WiFi is available in this apartment, set less than 1 km from House of the Heads and a 7-minute walk from Saint-Martin Collegiate Church. Guests can access the apartment via private entrance.

Each unit comes with a sofa, a seating area, a flat-screen TV with streaming services, a well-fitted kitchen, a safety deposit box and a private bathroom with a hair dryer. An oven, a microwave and toaster are also available, as well as a coffee machine and a kettle. At the apartment complex, every unit comes with bed linen and towels.

Colmar Train Station is 1.8 km from the apartment, while Colmar Expo is 3.1 km from the property. EuroAirport Mulhouse Airport is 55 km away."
L'Ours de Colmar - Appartements en centre ville,https://www.booking.com/hotel/fr/l-39-ours-de-colmar.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As7Hib0GwAIB0gIkZGNkODgyMTItNTFmZi00NTA5LTkwNDktYWFmZDg4OGFhMjIy2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=252c85a759010512&srepoch=1738695631&from=searchresults,Colmar,8.9,48.0781289737822,7.36235959325404,"L'Ours de Colmar is set in Colmar, 300 metres from Saint-Martin Collegiate Church. House of the Heads is 500 metres away. Free WiFi is available throughout the property.

All units have a cable flat-screen TV. There is a seating and/or dining area in some units. There is also a kitchen, fitted with a dishwasher, oven and microwave. A toaster and coffee machine are also offered. Every unit comes with a private bathroom with a hairdryer. Towels are provided. A free laundry service can be requested for any stay of at least 4 days.

Colmar Expo is 2.6 km from l'Ours de Colmar. Basel Airport is 55 km from the property. Subject to availability, private parking is possible for an extra charge."
- N26- Studio calme et lumineux cœur de ville,https://www.booking.com/hotel/fr/charmant-studio-coeur-de-ville-besancon.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCzseJvQbAAgHSAiRmNTQ0N2UwMy02NDU2LTQzNGMtOGUyNi04OGUxZjE3ZTMwODLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ffac85a7cf4403c7&srepoch=1738695632&from=searchresults,Besancon,8.6,47.235171878729,6.024493453373,"- N26- Studio calme et lumineux cœur de ville is located in the centre of Besançon, close to Besançon-Mouillère train station, Besancon Viotte Train Station and Time museum of Besançon. The property is situated 4.6 km from Micropolis, 13 km from Besançon Franche-Comté TGV train station and 600 metres from Saint-Jean Cathedral Besançon. The property provides a 24-hour front desk and free WiFi is available throughout the property.

The 1-bedroom apartment is equipped with a living room with a flat-screen TV, a fully equipped kitchen with a fridge and a stovetop, and 1 bathroom with slippers. Towels and bed linen are provided in the apartment. This apartment is allergy-free and non-smoking.

Museum of Fine Arts and Archaeology of Besancon is 700 metres from the apartment, while Besançon Vesoul University is 5.3 km away. The nearest airport is Dole-Jura Airport, 60 km from - N26- Studio calme et lumineux cœur de ville."
Chambre d'Hôtes La Villa Molina,https://www.booking.com/hotel/fr/la-villa-molina.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCzseJvQbAAgHSAiRmNTQ0N2UwMy02NDU2LTQzNGMtOGUyNi04OGUxZjE3ZTMwODLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=ffac85a7cf4403c7&srepoch=1738695632&from=searchresults,Besancon,9.3,47.25044475006427,6.02088063955307,"Located in Besançon and only 500 metres from Besancon Viotte Train Station, Chambre d'Hôtes La Villa Molina provides accommodation with garden views, free WiFi and free private parking. Housed in a building dating from 1930, this bed and breakfast is 5.6 km from Micropolis and 11 km from Besançon Franche-Comté TGV train station. The property is non-smoking and is situated 1.8 km from Besançon-Mouillère train station.

The bed and breakfast consists of 1 separate bedroom, 1 bathroom with a hair dryer and free toiletries, and a seating area. A flat-screen TV and a DVD player are provided.

Saint-Jean Cathedral Besançon is 3.5 km from the bed and breakfast, while Time museum of Besançon is 3.6 km away. Dole-Jura Airport is 62 km from the property."
ibis budget Besançon Centre Gare,https://www.booking.com/hotel/fr/ibis-budget-besanasson-centre-gare.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCzseJvQbAAgHSAiRmNTQ0N2UwMy02NDU2LTQzNGMtOGUyNi04OGUxZjE3ZTMwODLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=ffac85a7cf4403c7&srepoch=1738695632&from_sustainable_property_sr=1&from=searchresults,Besancon,7.7,47.246846407466016,6.023120284080505,"Located in Besançon, just 100 metres from Gare de la Viotte Train Station, ibis budget Besançon Centre Gare offers simple rooms with free Wi-Fi and a 24-hour access.

Each room is air-conditioned and includes a flat-screen TV. The private bathroom is fitted with a shower. A buffet breakfast is available daily.

The palace Granvelle is 2 km from the hotel, and the UNESCO World Heritage Site, the Citadel Vaubon is 2.5 km away. Besançon town centre is a 15-minute walk away."
L'Hostellerie du Château,https://www.booking.com/hotel/fr/hostellerie-du-chateau-eguisheim.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IM1gEaE2IAQGYAQm4ARfIAQzYAQHoAQH4AQOIAgGoAgO4As7Hib0GwAIB0gIkZTA0Y2I2NTUtNzc0My00MGMwLWIzNjUtOTE5ZGM2MmNmZWE02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=0dc785a70f0a0067&srepoch=1738695632&from=searchresults,Eguisheim,8.8,48.04242042576413,7.306319251656532,"Set at the heart of the medieval village of Eguisheim, the Hostellerie du Château is located on the Alsace wine route. It offers individually decorated guest rooms with free fibre-optic WiFi access.

Each guest room is equipped with satellite TV and a minibar. The tiled private bathrooms feature a bathtub.

At L'Hostellerie du Château, a continental buffet breakfast is served every morning in the dining room.

L'Hostellerie du Château is located 6 km from Colmar City Centre and Strasbourg Airport is 87 km away. Guests can visit the 3 castles in the village, just a short walk away."
