hotel_name,hotel_url,city,rating,latitude,longitude,description,date_time,weather_descrip,lat,lon,temp_day,humidity,dew_point,wind_speed,clouds
Hotel Spa Le Pasino,https://www.booking.com/hotel/fr/pasino.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiRlODlmZTM4Ni0wNWY2LTQzZTQtOGQyZC1kMjAyYTJmMTZhMjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ffac394079ce0343&srepoch=1738829313&from=searchresults,Le Havre,8.3,49.49117449151481,0.11193662881851196,"Located at the heart of Le Havre, Hotel Spa le Pasino features an indoor swimming pool, a spa with sauna and a casino on site. It offers guest rooms with a flat-screen TV.

Each air-conditioned guest room features a queen-size bed and some offer views over the harbour. All private bathrooms include a hairdryer and bathrobes.

A buffet breakfast is served every morning and can be enjoyed in the comfort of your room.

Free Wi-Fi is available throughout Hotel Spa le Pasino. Guests can work out in the fitness centre or relax in the spa bath at the hotel's spa.

Le Havre Train Station is a 6-minute drive from the hotel and free private parking is available on site. Malraux Museum is 1 km away.",2025-02-09 13:00:00,clear sky,49.4938975,0.1079732,8.15,74.0,3.69,9.84,3.0
Hotel Spa Le Pasino,https://www.booking.com/hotel/fr/pasino.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiRlODlmZTM4Ni0wNWY2LTQzZTQtOGQyZC1kMjAyYTJmMTZhMjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ffac394079ce0343&srepoch=1738829313&from=searchresults,Le Havre,8.3,49.49117449151481,0.11193662881851196,"Located at the heart of Le Havre, Hotel Spa le Pasino features an indoor swimming pool, a spa with sauna and a casino on site. It offers guest rooms with a flat-screen TV.

Each air-conditioned guest room features a queen-size bed and some offer views over the harbour. All private bathrooms include a hairdryer and bathrobes.

A buffet breakfast is served every morning and can be enjoyed in the comfort of your room.

Free Wi-Fi is available throughout Hotel Spa le Pasino. Guests can work out in the fitness centre or relax in the spa bath at the hotel's spa.

Le Havre Train Station is a 6-minute drive from the hotel and free private parking is available on site. Malraux Museum is 1 km away.",2025-02-13 13:00:00,clear sky,49.4938975,0.1079732,5.29,51.0,-4.06,7.42,0.0
Hôtel Gérando,https://www.booking.com/hotel/fr/gerando.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ5ZDg1Nzk5Mi00MmUyLTRkYmItYjAxZi1kNzFkZDdkMDY0ZmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed21394068760010&srepoch=1738829313&from=searchresults,Paris,8.3,48.882531334436436,2.345811054110527,"Hotel Gérando is located in the Montmartre area in Paris. The hotel features a 24-hour reception, a luggage storage and free WiFi.

The soundproofed rooms have a desk, a flat-screen TV with satellite channels and a private bathroom with a shower and a hairdryer. All rooms are also serviced by a lift.

The Gérando’s continental breakfast is served daily and can be enjoyed in the dining room or in the comfort of your room.

Restaurant and bars can be found within walking distance. Hotel Gérando is a 2-minute walk from Anvers Metro Station, a 10-minute walk from Sacré-Cœur Basilica and a 14-minute walk from the Moulin Rouge.",2025-02-09 13:00:00,clear sky,48.8534951,2.3483915,8.57,59.0,0.92,5.8,0.0
Hôtel Gérando,https://www.booking.com/hotel/fr/gerando.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ5ZDg1Nzk5Mi00MmUyLTRkYmItYjAxZi1kNzFkZDdkMDY0ZmbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ed21394068760010&srepoch=1738829313&from=searchresults,Paris,8.3,48.882531334436436,2.345811054110527,"Hotel Gérando is located in the Montmartre area in Paris. The hotel features a 24-hour reception, a luggage storage and free WiFi.

The soundproofed rooms have a desk, a flat-screen TV with satellite channels and a private bathroom with a shower and a hairdryer. All rooms are also serviced by a lift.

The Gérando’s continental breakfast is served daily and can be enjoyed in the dining room or in the comfort of your room.

Restaurant and bars can be found within walking distance. Hotel Gérando is a 2-minute walk from Anvers Metro Station, a 10-minute walk from Sacré-Cœur Basilica and a 14-minute walk from the Moulin Rouge.",2025-02-13 13:00:00,clear sky,48.8534951,2.3483915,5.4,40.0,-7.16,5.04,0.0
Auberge de la Baie,https://www.booking.com/hotel/fr/auberge-de-la-baie.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ2MzM5ZTRmOS02MjZlLTQwYjktYWM4NC05MzkxMzgxNGVlMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=d5033940df5d01d7&srepoch=1738829313&from=searchresults,Mont Saint Michel,8.2,48.61599317655586,-1.4882531762123108,"This hotel is situated in the countryside of Normandy and offers free Wi-Fi

Flat-screen TVs with satellite channels are provided in all of the modern guest rooms at Auberge de la Baie. They are all equipped with en suite bathrooms and hairdryers.

A buffet-style breakfast is served every morning.

Free parking is available on site and the city of Avranches is 23 km away. The hotel is a 45-minute drive from the beaches of Saint-Malo and Rennes is reached by car in 1 hour.",2025-02-13 13:00:00,clear sky,48.6359541,-1.511459954959514,7.75,60.0,0.22,4.65,3.0
"Hôtel Littéraire Gustave Flaubert, BW Signature Collection",https://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ5N2Y4NGQwZC0wMTgyLTQ4ZDAtOWFiNi05NDZkYjBmYWE5NjDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4deb3940e58a002a&srepoch=1738829313&from_sustainable_property_sr=1&from=searchresults,Rouen,8.6,49.44263508189676,1.0868579149246216,"Situated in the historic centre of Rouen, Hôtel Littéraire Gustave Flaubert, BW Signature Collection, offers accommodation with a literary theme in honour of the writer Gustave Flaubert. It is located 3 km from the Kindarena Stadium and free WiFi is available throughout the property.

A flat-screen TV with satellite channels is included in each of the elegant rooms. All rooms have private bathrooms.

Breakfast is served every morning and can be enjoyed in the breakfast area or in the comfort of guest rooms. Guests are invited to relax in the hotel's cocktail lounge. The hotel is situated across the street from a number of French and international restaurants.

Notre Dame Cathedral of Rouen is just a 10-minute walk from the hotel and the Musée des Beaux Arts de Rouen is 800 metres away.",2025-02-09 13:00:00,clear sky,49.4404591,1.0939658,8.54,71.0,3.29,7.85,7.0
"Hôtel Littéraire Gustave Flaubert, BW Signature Collection",https://www.booking.com/hotel/fr/hotellitterairegustaveflaubert.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ5N2Y4NGQwZC0wMTgyLTQ4ZDAtOWFiNi05NDZkYjBmYWE5NjDYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4deb3940e58a002a&srepoch=1738829313&from_sustainable_property_sr=1&from=searchresults,Rouen,8.6,49.44263508189676,1.0868579149246216,"Situated in the historic centre of Rouen, Hôtel Littéraire Gustave Flaubert, BW Signature Collection, offers accommodation with a literary theme in honour of the writer Gustave Flaubert. It is located 3 km from the Kindarena Stadium and free WiFi is available throughout the property.

A flat-screen TV with satellite channels is included in each of the elegant rooms. All rooms have private bathrooms.

Breakfast is served every morning and can be enjoyed in the breakfast area or in the comfort of guest rooms. Guests are invited to relax in the hotel's cocktail lounge. The hotel is situated across the street from a number of French and international restaurants.

Notre Dame Cathedral of Rouen is just a 10-minute walk from the hotel and the Musée des Beaux Arts de Rouen is 800 metres away.",2025-02-13 13:00:00,clear sky,49.4404591,1.0939658,5.45,49.0,-4.77,6.49,0.0
La Jacotière,https://www.booking.com/hotel/fr/la-jacotia-re.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250IHNhaW50IG1pY2hlbEgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiQ2MzM5ZTRmOS02MjZlLTQwYjktYWM4NC05MzkxMzgxNGVlMjjYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=d5033940df5d01d7&srepoch=1738829313&from=searchresults,Mont Saint Michel,9.2,48.61411436123917,-1.5043142437934875,"Situated in Ardevon, La Jacotière is a B&B set in a renovated farm with a garden and a furnished terrace offering views of the Mont Saint-Michel, just 3 km away. Free Wi-Fi is provided.

The rooms offer a TV, a desk and wardrobe and a private bathroom with shower. The studio also has a kitchen equipped with microwave and stove.

Breakfast is served in the large dining room. Supermarkets, bars and restaurants serving traditional and international cuisine can be found a 5-minute walk away.

At the B&B, guests have access to guides on excursions to do in the area. There are shuttle services nearby to discover the Mont Saint-Michel. Pontorson Train Station is 8.5 km away, while Saint-Malo and Granville are 46 km away.",2025-02-13 13:00:00,clear sky,48.6359541,-1.511459954959514,7.75,60.0,0.22,4.65,3.0
Odalys City Le Havre Centre Gare,https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-gare.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiRlODlmZTM4Ni0wNWY2LTQzZTQtOGQyZC1kMjAyYTJmMTZhMjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ffac394079ce0343&srepoch=1738829313&from=searchresults,Le Havre,8.5,49.491908082817,0.123161788885,"Featuring 4-star accommodation, Odalys City Le Havre Centre Gare is situated in Le Havre, 2.4 km from Le Havre Beach and 1.6 km from Le Volcan. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The aparthotel has family rooms and facilities for disabled guests.

The aparthotel will provide guests with air-conditioned units with a desk, a coffee machine, a dishwasher, a microwave, a safety deposit box, a flat-screen TV and a private bathroom with a shower. There is also a dining area and a fully equipped kitchenette equipped with a fridge, a stovetop, and kitchenware. At the aparthotel, each unit includes bed linen and towels.

Guests can also relax in the shared lounge area.

Popular points of interest near the aparthotel include Perret Model Appartment, Saint-Michel's Church and Eglise St-Joseph. Deauville - Normandie Airport is 37 km from the property.",2025-02-09 13:00:00,clear sky,49.4938975,0.1079732,8.15,74.0,3.69,9.84,3.0
Odalys City Le Havre Centre Gare,https://www.booking.com/hotel/fr/odalys-city-le-havre-centre-gare.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9sZSBoYXZyZUgzWARoTYgBAZgBCbgBF8gBDNgBAegBAfgBA4gCAagCA7gCgNyRvQbAAgHSAiRlODlmZTM4Ni0wNWY2LTQzZTQtOGQyZC1kMjAyYTJmMTZhMjPYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=ffac394079ce0343&srepoch=1738829313&from=searchresults,Le Havre,8.5,49.491908082817,0.123161788885,"Featuring 4-star accommodation, Odalys City Le Havre Centre Gare is situated in Le Havre, 2.4 km from Le Havre Beach and 1.6 km from Le Volcan. Among the facilities at this property are a 24-hour front desk and a lift, along with free WiFi throughout the property. The aparthotel has family rooms and facilities for disabled guests.

The aparthotel will provide guests with air-conditioned units with a desk, a coffee machine, a dishwasher, a microwave, a safety deposit box, a flat-screen TV and a private bathroom with a shower. There is also a dining area and a fully equipped kitchenette equipped with a fridge, a stovetop, and kitchenware. At the aparthotel, each unit includes bed linen and towels.

Guests can also relax in the shared lounge area.

Popular points of interest near the aparthotel include Perret Model Appartment, Saint-Michel's Church and Eglise St-Joseph. Deauville - Normandie Airport is 37 km from the property.",2025-02-13 13:00:00,clear sky,49.4938975,0.1079732,5.29,51.0,-4.06,7.42,0.0
