city,lat,lon,avg_temp
Aix en Provence,43.5298424,5.4474738,9.56
Amiens,49.8941708,2.2956951,5.63
Annecy,45.8992348,6.1288847,8.41
Ariege,42.9455368,1.4065544156065486,8.17
Avignon,43.9492493,4.8059012,10.89
Bayeux,49.2764624,-0.7024738,5.07
Bayonne,43.4945144,-1.4736657,10.56
Besancon,47.2380222,6.0243622,8.01
Biarritz,43.47114375,-1.552726590666314,10.26
Bormes les Mimosas,43.1506968,6.3419285,8.2
Cassis,43.2140359,5.5396318,9.67
Collioure,42.52505,3.0831554,11.96
Colmar,48.0777517,7.3579641,5.21
Eguisheim,48.0447968,7.3079618,4.85
Gorges du Verdon,43.7496562,6.3285616,6.0
Grenoble,45.1875602,5.7357819,11.98
Le Havre,49.4938975,0.1079732,5.29
Lille,50.6365654,3.0635282,5.37
Lyon,45.7578137,4.8320114,8.66
Marseille,43.2961743,5.3699525,10.9
Mont Saint Michel,48.6359541,-1.511459954959514,7.75
Nimes,43.8374249,4.3600687,10.51
Paris,48.8534951,2.3483915,6.31
Rouen,49.4404591,1.0939658,6.4
Strasbourg,48.584614,7.7507127,5.59
Uzes,44.0121279,4.4196718,9.74
