,num_day,timestamp,city,lat,lon,temp_celsius,humidity,dew_point,weather_main,weather_descrip,clouds,wind_speed,pop
0,1,1738929600,Mont Saint Michel,48.6359541,-1.511459954959514,3.71,79,0.17,Snow,light snow,100,6.4,0.31
1,2,1739016000,Mont Saint Michel,48.6359541,-1.511459954959514,3.38,75,-0.9400000000000001,Clouds,overcast clouds,95,4.51,0.0
2,3,1739102400,Mont Saint Michel,48.6359541,-1.511459954959514,9.52,70,4.25,Clouds,few clouds,13,8.56,0.0
3,4,1739188800,Mont Saint Michel,48.6359541,-1.511459954959514,5.01,75,0.84,Rain,light rain,99,6.02,0.45
4,5,1739275200,Mont Saint Michel,48.6359541,-1.511459954959514,11.0,75,6.5600000000000005,Rain,light rain,99,8.16,0.37
5,6,1739361600,Mont Saint Michel,48.6359541,-1.511459954959514,10.22,88,8.09,Rain,light rain,96,6.43,1.0
6,7,1739448000,Mont Saint Michel,48.6359541,-1.511459954959514,11.35,74,6.68,Rain,light rain,22,6.06,1.0
7,1,1738929600,St Malo,48.649518,-2.0260409,3.9,81,0.76,Rain,light rain,99,8.45,1.0
8,2,1739016000,St Malo,48.649518,-2.0260409,4.29,74,0.02,Clouds,overcast clouds,92,5.52,0.0
9,3,1739102400,St Malo,48.649518,-2.0260409,8.82,80,5.36,Clouds,few clouds,24,10.86,0.0
10,4,1739188800,St Malo,48.649518,-2.0260409,4.47,78,0.86,Rain,light rain,91,8.31,1.0
11,5,1739275200,St Malo,48.649518,-2.0260409,10.09,80,6.78,Rain,light rain,100,8.85,1.0
12,6,1739361600,St Malo,48.649518,-2.0260409,9.62,90,8.01,Rain,light rain,90,6.2,1.0
13,7,1739448000,St Malo,48.649518,-2.0260409,10.48,77,6.54,Rain,light rain,21,6.53,1.0
14,1,1738929600,Bayeux,49.2764624,-0.7024738,2.76,92,1.6400000000000001,Snow,light snow,100,8.17,1.0
15,2,1739016000,Bayeux,49.2764624,-0.7024738,4.6,73,0.26,Snow,light snow,100,2.67,1.0
16,3,1739102400,Bayeux,49.2764624,-0.7024738,7.73,82,4.94,Clear,clear sky,9,9.33,0.0
17,4,1739188800,Bayeux,49.2764624,-0.7024738,3.16,96,2.59,Rain,light rain,95,7.29,0.33
18,5,1739275200,Bayeux,49.2764624,-0.7024738,8.8,84,6.2,Rain,light rain,100,6.79,0.2
19,6,1739361600,Bayeux,49.2764624,-0.7024738,9.69,87,7.65,Clouds,overcast clouds,99,6.04,0.16
20,7,1739448000,Bayeux,49.2764624,-0.7024738,10.91,81,7.68,Rain,light rain,95,5.27,1.0
